Voltage (V),TMR_Ratio,TMR_Error,I_apar (A),I_apar_error (A),I_par (A),I_par_error (A),temperature,scan_type
0.0251256281407035,3.010804474572573,0.0299022136300536,7.901082722667567e-09,7.765892616172846e-11,2.378861521537556e-08,3.389505783234629e-11,100,b_scan
0.0351758793969849,3.0053557074917547,0.0285198436489265,1.0691279002396346e-08,1.0033455011543351e-10,3.213109637023861e-08,4.5225263110032807e-11,100,b_scan
0.0452261306532664,2.9926707101893246,0.0263700878365794,1.534379326668481e-08,1.3356186073635752e-10,4.5918920692407814e-08,6.284614804768998e-11,100,b_scan
0.0552763819095476,2.9793055731962936,0.0250580921176302,1.879875376822045e-08,1.5608919461686698e-10,5.600723187080405e-08,7.509050941057809e-11,100,b_scan
0.0653266331658291,2.9513720084236903,0.0230295261733009,2.4546661472473164e-08,1.888649743087196e-10,7.244632957010954e-08,9.410106840666627e-11,100,b_scan
0.0753768844221105,2.929256696970837,0.0215755957787649,2.87942809437213e-08,2.0889668805513678e-10,8.434584028885538e-08,1.0733088563867408e-10,100,b_scan
0.085427135678392,2.89311087996418,0.0196806898648174,3.5741263139884126e-08,2.3913644705311403e-10,1.0340343725366149e-07,1.2702534220408946e-10,100,b_scan
0.0954773869346734,2.8714570909271835,0.018636714854375,4.0762586858069535e-08,2.5862767571641637e-10,1.17048019078139e-07,1.6000991553647306e-10,100,b_scan
0.1055276381909549,2.8204043750904533,0.0168312049918448,4.8915222655978766e-08,2.857236945804417e-10,1.379607079874462e-07,1.6858808723367123e-10,100,b_scan
0.1155778894472361,2.7940578337320243,0.015748721468305,5.469556015972837e-08,3.0178652494324763e-10,1.5282255833465025e-07,1.760197122038559e-10,100,b_scan
0.1256281407035175,2.75099185935818,0.0144221832715384,6.4015964130017e-08,3.2785010628280727e-10,1.7610739619064209e-07,1.9734104951053408e-10,100,b_scan
0.135678391959799,2.722163129490127,0.0137036938955972,7.063093030764688e-08,3.4695737291612726e-10,1.922689142850631e-07,2.1167710994830887e-10,100,b_scan
0.1457286432160804,2.68012537777473,0.0126246114782686,8.104050375724842e-08,3.716956893607793e-10,2.171987107474499e-07,2.331243771999045e-10,100,b_scan
0.1557788944723619,2.652711956187425,0.0119312620657386,8.8395816927081e-08,3.864739519061005e-10,2.344886404394225e-07,2.4757449807358806e-10,100,b_scan
0.1658291457286431,2.6128122227596515,0.0110208518600702,9.990324250574393e-08,4.086115206696521e-10,2.610284131123293e-07,2.6910771396698187e-10,100,b_scan
0.1758793969849246,2.586719939673955,0.0104484389437778,1.0796292143291016e-07,4.220974847266311e-10,2.792698416159613e-07,2.834629388932631e-10,100,b_scan
0.185929648241206,2.548602641165832,0.0096715964354183,1.2061546626608677e-07,4.417476124581392e-10,3.07400895891197e-07,3.0546917714060247e-10,100,b_scan
0.1959798994974875,2.524090244391288,0.0092384045792399,1.293671251198572e-07,4.561948567089296e-10,3.265342984599786e-07,3.2011611815507783e-10,100,b_scan
0.2060301507537689,2.488401205089219,0.0086422632388098,1.430799927715709e-07,4.775649985569834e-10,3.560404264369337e-07,3.4174196239872105e-10,100,b_scan
0.2160804020100502,2.4654798090251635,0.0082562237787326,1.5253982535773866e-07,4.89962840175165e-10,3.760838594917293e-07,3.5615653508762046e-10,100,b_scan
0.2261306532663316,2.431949957519203,0.0077048953905065,1.6732019023334357e-07,5.06812870318629e-10,4.069143295300849e-07,3.7793288021898497e-10,100,b_scan
0.2361809045226131,2.4103222349664164,0.0073732938895954,1.7751361502201933e-07,5.180324552223987e-10,4.2786501329684163e-07,3.9249189147265854e-10,100,b_scan
0.2462311557788945,2.378846629902027,0.0069142069054115,1.933299556475448e-07,5.341946773720914e-10,4.599023134512704e-07,4.147046205240346e-10,100,b_scan
0.256281407035176,2.358532768180881,0.0066355070700356,2.0422991905768625e-07,5.450590742706606e-10,4.81682956340482e-07,4.288017323808865e-10,100,b_scan
0.2663316582914572,2.3290061353720115,0.0062540844938707,2.2111396223861161e-07,5.61408645591482e-10,5.149757746701417e-07,4.502191026343887e-10,100,b_scan
0.2763819095477386,2.309889567704697,0.0060153178397315,2.327311150975221e-07,5.716532373162619e-10,5.375831748440474e-07,4.6503861389732757e-10,100,b_scan
0.2864321608040201,2.2820821925866763,0.0056863745224734,2.506929765217572e-07,5.869952309728174e-10,5.721019775268518e-07,4.875409598682925e-10,100,b_scan
0.2964824120603015,2.2640895775530296,0.005481899513961,2.630081045312068e-07,5.969519986570941e-10,5.954739082810829e-07,5.020419671498827e-10,100,b_scan
0.306532663316583,2.2378111968297074,0.0051893980793406,2.820700049987917e-07,6.107936754489214e-10,6.312194154761075e-07,5.238118614039896e-10,100,b_scan
0.3165829145728642,2.22089137817996,0.0050049021854888,2.950882442063623e-07,6.192531119183757e-10,6.553589373601723e-07,5.38297562034438e-10,100,b_scan
0.3266331658291457,2.1961291710862043,0.004741891035996,3.152575241889341e-07,6.310986677749312e-10,6.923462452757328e-07,5.602248260986972e-10,100,b_scan
0.3366834170854271,2.172301205723749,0.0045068661194349,3.359823625502727e-07,6.434762739671044e-10,7.298548912698711e-07,5.822132496545795e-10,100,b_scan
0.3467336683417086,2.156786438830002,0.004360288167971,3.502617379765063e-07,6.519110842186103e-10,7.554397665087562e-07,5.96271507762711e-10,100,b_scan
0.35678391959799,2.1341764384601447,0.0041502191668999,3.721900940384816e-07,6.632551307083686e-10,7.94319329325193e-07,6.183500263853117e-10,100,b_scan
0.3668341708542713,2.119564824210029,0.0040234843648252,3.87080161553325e-07,6.713549573547319e-10,8.204414945779628e-07,6.32973831657746e-10,100,b_scan
0.3768844221105527,2.0981085927499468,0.0038333666885648,4.101400905413168e-07,6.81321367674781e-10,8.605184481959779e-07,6.545506762646134e-10,100,b_scan
0.3869346733668342,2.084177094065216,0.0037187955548884,4.25883395703939e-07,6.887550430891104e-10,8.876164180688621e-07,6.691139524821991e-10,100,b_scan
0.3969849246231156,2.063898237171517,0.0035594834926731,4.500173262401632e-07,7.001122967449206e-10,9.287899663237124e-07,6.913363722191665e-10,100,b_scan
0.4070351758793971,2.050627357874524,0.0034566106728636,4.665834599124308e-07,7.07223159753323e-10,9.56788807628182e-07,7.056110276564093e-10,100,b_scan
0.4170854271356783,2.0312256133134112,0.0033103329253628,4.918515619707797e-07,7.169648954067607e-10,9.990614906232563e-07,7.281140116398912e-10,100,b_scan
0.4271356783919597,2.018602043764528,0.0032171615640183,5.09110110162399e-07,7.240829159393086e-10,1.0276907088750025e-06,7.391240270560578e-10,100,b_scan
